entity1, type1,   entity2, type2,   relation_type,   source
D016651,Chemical,MESH:C531609,Disease,-,ctd
D008558,Chemical,MESH:C531616,Disease,-,ctd
C040029,Chemical,MESH:C531617,Disease,-,ctd
D014810,Chemical,MESH:C531617,Disease,-,ctd
D019782,Chemical,MESH:C531617,Disease,-,ctd
C055122,Chemical,MESH:C531755,Disease,-,ctd
D002330,Chemical,MESH:C531767,Disease,-,ctd
D011431,Chemical,MESH:C531767,Disease,-,ctd
D000086,Chemical,MESH:C531795,Disease,-,ctd
D003613,Chemical,MESH:C531795,Disease,-,ctd
D008911,Chemical,MESH:C531795,Disease,-,ctd
D012460,Chemical,MESH:C531795,Disease,-,ctd
D013752,Chemical,MESH:C531795,Disease,-,ctd
D014801,Chemical,MESH:C531795,Disease,-,ctd
D015474,Chemical,MESH:C531795,Disease,-,ctd
C019417,Chemical,MESH:C535306,Disease,-,ctd
D001379,Chemical,MESH:C535323,Disease,-,ctd
D014810,Chemical,MESH:C535393,Disease,-,ctd
D024502,Chemical,MESH:C535393,Disease,-,ctd
C035133,Chemical,MESH:C535402,Disease,-,ctd
C047426,Chemical,MESH:C535402,Disease,-,ctd
C058218,Chemical,MESH:C535402,Disease,-,ctd
D008691,Chemical,MESH:C535402,Disease,-,ctd
D008750,Chemical,MESH:C535402,Disease,-,ctd
D008787,Chemical,MESH:C535402,Disease,-,ctd
D009853,Chemical,MESH:C535402,Disease,-,ctd
C004681,Chemical,MESH:C535438,Disease,-,ctd
D000404,Chemical,MESH:C535438,Disease,-,ctd
D004074,Chemical,MESH:C535438,Disease,-,ctd
D004077,Chemical,MESH:C535438,Disease,-,ctd
D008012,Chemical,MESH:C535438,Disease,-,ctd
D000431,Chemical,MESH:C535464,Disease,-,ctd
D008614,Chemical,MESH:C535469,Disease,-,ctd
D016685,Chemical,MESH:C535474,Disease,-,ctd
D000661,Chemical,MESH:C535485,Disease,-,ctd
C026098,Chemical,MESH:C535500,Disease,-,ctd
C047360,Chemical,MESH:C535500,Disease,-,ctd
D011239,Chemical,MESH:C535500,Disease,-,ctd
D000086,Chemical,MESH:C535506,Disease,-,ctd
D013792,Chemical,MESH:C535531,Disease,-,ctd
D008727,Chemical,MESH:C535533,Disease,-,ctd
D015474,Chemical,MESH:C535542,Disease,-,ctd
D000547,Chemical,MESH:C535563,Disease,-,ctd
C016392,Chemical,MESH:C535575,Disease,-,ctd
C023617,Chemical,MESH:C535575,Disease,-,ctd
C041517,Chemical,MESH:C535575,Disease,-,ctd
C059514,Chemical,MESH:C535575,Disease,-,ctd
C095424,Chemical,MESH:C535575,Disease,-,ctd
C452423,Chemical,MESH:C535575,Disease,-,ctd
C518327,Chemical,MESH:C535575,Disease,-,ctd
